Month,Points,Rank
2010-01-01 00:00:00,1325,1143
2010-02-01 00:00:00,1325,1139
2010-03-01 00:00:00,1336,1085
2010-04-01 00:00:00,1350,815
2010-05-01 00:00:00,1349,1038
2010-06-01 00:00:00,1349,1037
2010-07-01 00:00:00,1345,1054
2010-08-01 00:00:00,1347,1028
2010-09-01 00:00:00,1359,785
2010-10-01 00:00:00,1362,773
2010-11-01 00:00:00,1371,737
2010-12-01 00:00:00,1357,790
2011-01-01 00:00:00,1357,798
2011-02-01 00:00:00,1357,802
2011-03-01 00:00:00,1353,827
2011-04-01 00:00:00,1360,797
2011-05-01 00:00:00,1348,1036
2011-06-01 00:00:00,1351,863
2011-07-01 00:00:00,1372,757
2011-08-01 00:00:00,1363,798
2011-09-01 00:00:00,1356,834
2011-10-01 00:00:00,1354,850
2011-11-01 00:00:00,1348,1032
2011-12-01 00:00:00,1340,1069
2012-01-01 00:00:00,1340,1070
2012-02-01 00:00:00,1340,1063
2012-03-01 00:00:00,1347,1021
2012-04-01 00:00:00,1367,792
2012-05-01 00:00:00,1367,791
2012-06-01 00:00:00,1376,755
2012-07-01 00:00:00,1386,710
2012-08-01 00:00:00,1395,667
2012-09-01 00:00:00,1395,669
2012-10-01 00:00:00,1383,726
2012-11-01 00:00:00,1379,738
2012-12-01 00:00:00,1387,714
2013-01-01 00:00:00,1387,712
2013-02-01 00:00:00,1381,735
2013-03-01 00:00:00,1418,559
2013-04-01 00:00:00,1416,563
2013-05-01 00:00:00,1451,420
2013-06-01 00:00:00,1451,422
2013-07-01 00:00:00,1445,461
2013-08-01 00:00:00,1452,418
2013-09-01 00:00:00,1443,467
2013-10-01 00:00:00,1459,391
2013-11-01 00:00:00,1441,484
2013-12-01 00:00:00,1430,516
2014-01-01 00:00:00,1430,514
2014-02-01 00:00:00,1430,516
2014-03-01 00:00:00,1431,510
2014-04-01 00:00:00,1447,453
2014-05-01 00:00:00,1461,388
2014-06-01 00:00:00,1461,388
2014-07-01 00:00:00,1468,366
2014-08-01 00:00:00,1470,362
2014-09-01 00:00:00,1487,314
2014-10-01 00:00:00,1479,329
2014-11-01 00:00:00,1476,342
2014-12-01 00:00:00,1469,366
2015-01-01 00:00:00,1469,365
2015-02-01 00:00:00,1464,374
2015-03-01 00:00:00,1454,407
2015-04-01 00:00:00,1463,383
2015-05-01 00:00:00,1495,287
2015-06-01 00:00:00,1501,250
2015-07-01 00:00:00,1488,316
2015-08-01 00:00:00,1490,310
2015-09-01 00:00:00,1506,241
2015-10-01 00:00:00,1506,236
2015-11-01 00:00:00,1508,239
2015-12-01 00:00:00,1508,238
2016-01-01 00:00:00,1508,248
2016-02-01 00:00:00,1517,223
2016-03-01 00:00:00,1514,226
2016-04-01 00:00:00,1535,182
2016-05-01 00:00:00,1533,192
2016-06-01 00:00:00,1515,234
2016-07-01 00:00:00,1539,179
2016-08-01 00:00:00,1535,194
2016-09-01 00:00:00,1552,160
2016-10-01 00:00:00,1563,145
2016-11-01 00:00:00,1561,152
2016-12-01 00:00:00,1561,153
2017-01-01 00:00:00,1561,152
2017-02-01 00:00:00,1576,123
2017-03-01 00:00:00,1574,134
2017-04-01 00:00:00,1590,111
2017-05-01 00:00:00,1563,152
2017-06-01 00:00:00,1550,173
2017-07-01 00:00:00,1528,211
2017-08-01 00:00:00,1525,217
2017-09-01 00:00:00,1535,197
2017-10-01 00:00:00,1549,177
2017-11-01 00:00:00,1571,145
2017-12-01 00:00:00,1551,173
2018-01-01 00:00:00,1551,176
2018-02-01 00:00:00,1551,185
2018-03-01 00:00:00,1534,208
2018-04-01 00:00:00,1519,232
2018-05-01 00:00:00,1523,232
2018-06-01 00:00:00,1523,230
2018-07-01 00:00:00,1536,202
2018-08-01 00:00:00,1524,226
2018-09-01 00:00:00,1536,199
2018-10-01 00:00:00,1541,197
2018-11-01 00:00:00,1526,226
2018-12-01 00:00:00,1529,216
2019-01-01 00:00:00,1529,218
2019-02-01 00:00:00,1528,223
2019-03-01 00:00:00,1532,211
2019-04-01 00:00:00,1522,236
2019-05-01 00:00:00,1503,277
2019-06-01 00:00:00,1510,262
2019-07-01 00:00:00,1511,259
2019-08-01 00:00:00,1495,294
2019-09-01 00:00:00,1486,315
2019-10-01 00:00:00,1525,232
2019-11-01 00:00:00,1478,339
2019-12-01 00:00:00,1471,358
2020-01-01 00:00:00,1471,359
2020-02-01 00:00:00,1475,353
2020-03-01 00:00:00,1475,354
2020-04-01 00:00:00,1475,354
2020-05-01 00:00:00,1475,353
2020-06-01 00:00:00,1475,356
2020-07-01 00:00:00,1470,371
2020-08-01 00:00:00,1473,362
2020-09-01 00:00:00,1453,419
2020-10-01 00:00:00,1462,393
2020-11-01 00:00:00,1452,432
2020-12-01 00:00:00,1435,498
2021-01-01 00:00:00,1435,497
2021-02-01 00:00:00,1434,499
2021-03-01 00:00:00,1416,572
2021-04-01 00:00:00,1429,516
2021-05-01 00:00:00,1440,471
